timestamp,open,high,low,close,volume
1768594980000,3277.7,3277.9,3276.65,3277.73,176.377
1768595040000,3277.73,3278.29,3277.51,3278.13,96.207
1768595100000,3278.13,3279.99,3278.13,3279.04,269.177
1768595160000,3279.04,3279.04,3277.29,3278.25,275.377
1768595220000,3278.25,3278.67,3277.72,3278.39,86.83
1768595280000,3278.39,3285.21,3278.39,3282.13,2986.294
1768595340000,3282.13,3283.78,3281.55,3283.78,261.112
1768595400000,3283.78,3285.0,3282.28,3283.29,1665.388
1768595460000,3283.29,3285.51,3282.6,3285.27,711.244
1768595520000,3285.27,3285.55,3284.28,3285.2,251.511
1768595580000,3285.2,3285.2,3283.48,3283.49,671.549
1768595640000,3283.49,3283.96,3282.27,3282.27,357.071
1768595700000,3282.27,3283.15,3281.44,3282.92,260.65
1768595760000,3282.92,3284.98,3282.73,3284.57,662.515
1768595820000,3284.57,3285.99,3283.8,3284.21,384.718
1768595880000,3284.21,3284.61,3283.53,3284.11,154.434
1768595940000,3284.11,3284.14,3282.15,3282.24,111.795
1768596000000,3282.24,3284.31,3282.24,3284.09,90.854
1768596060000,3284.09,3285.81,3283.23,3283.39,317.998
1768596120000,3283.39,3284.99,3283.02,3284.74,142.243
1768596180000,3284.74,3285.18,3284.46,3285.09,63.917
1768596240000,3285.09,3287.11,3285.09,3286.67,233.737
1768596300000,3286.67,3286.67,3284.48,3285.95,175.155
1768596360000,3285.95,3285.95,3284.3,3285.28,134.352
1768596420000,3285.28,3285.99,3285.18,3285.43,97.045
1768596480000,3285.43,3285.98,3284.45,3285.34,108.442
1768596540000,3285.34,3285.99,3283.53,3283.82,285.73
1768596600000,3283.82,3285.51,3283.42,3285.51,163.632
1768596660000,3285.51,3286.91,3285.35,3286.11,135.767
1768596720000,3286.11,3286.86,3284.1,3286.82,400.647
1768596780000,3286.82,3287.57,3286.05,3286.06,152.624
1768596840000,3286.06,3288.57,3285.15,3288.38,454.622
1768596900000,3288.38,3291.8,3287.61,3289.63,903.401
1768596960000,3289.63,3291.19,3288.78,3291.18,215.114
1768597020000,3291.18,3291.18,3289.43,3289.81,298.46
1768597080000,3289.81,3290.49,3288.65,3289.57,516.494
1768597140000,3289.57,3292.58,3289.3,3291.58,603.043
1768597200000,3291.58,3293.94,3291.58,3292.72,412.217
1768597260000,3292.72,3294.0,3290.62,3293.77,537.334
1768597320000,3293.77,3297.39,3292.87,3293.39,1548.681
1768597380000,3293.39,3296.47,3293.39,3294.91,710.45
1768597440000,3294.91,3296.59,3293.97,3294.22,290.446
1768597500000,3294.22,3295.36,3294.22,3295.06,145.275
1768597560000,3295.06,3297.0,3293.66,3296.71,277.298
1768597620000,3296.71,3297.71,3296.36,3297.7,211.191
1768597680000,3297.7,3297.7,3296.27,3296.49,100.551
1768597740000,3296.49,3296.49,3294.54,3295.15,295.009
1768597800000,3295.15,3295.77,3294.51,3294.99,177.081
1768597860000,3294.99,3295.0,3292.24,3292.78,257.59
1768597920000,3292.78,3293.38,3292.33,3293.07,920.034
1768597980000,3293.07,3293.07,3290.6,3291.06,626.585
1768598040000,3291.06,3291.06,3288.79,3288.8,214.693
1768598100000,3288.8,3289.48,3287.08,3287.84,276.829
1768598160000,3287.84,3289.79,3287.84,3289.06,233.135
1768598220000,3289.06,3289.98,3289.06,3289.98,46.401
1768598280000,3289.98,3290.16,3288.97,3289.91,112.294
1768598340000,3289.91,3289.92,3289.49,3289.67,40.271
1768598400000,3289.67,3289.67,3289.03,3289.5,47.298
1768598460000,3289.5,3290.26,3289.5,3289.76,47.925
1768598520000,3289.76,3289.95,3289.0,3289.01,35.196
1768598580000,3289.01,3289.49,3288.99,3289.16,76.678
1768598640000,3289.16,3290.14,3288.31,3290.12,117.494
1768598700000,3290.12,3290.42,3289.01,3289.02,153.912
1768598760000,3289.02,3289.76,3289.02,3289.75,31.014
1768598820000,3289.75,3292.0,3289.74,3291.98,287.71
1768598880000,3291.98,3291.98,3290.23,3290.23,114.092
1768598940000,3290.23,3291.56,3290.23,3291.08,115.502
1768599000000,3291.08,3291.76,3289.44,3289.45,178.582
1768599060000,3289.45,3289.91,3289.17,3289.89,52.424
1768599120000,3289.89,3291.31,3289.89,3291.31,65.635
1768599180000,3291.31,3294.42,3291.31,3294.25,231.572
1768599240000,3294.25,3294.62,3293.99,3294.37,78.24
1768599300000,3294.37,3294.39,3293.33,3293.34,88.282
1768599360000,3293.34,3293.34,3290.89,3290.89,102.538
1768599420000,3290.89,3294.11,3290.43,3294.1,156.587
1768599480000,3294.1,3295.28,3293.96,3295.28,71.521
1768599540000,3295.28,3296.39,3294.99,3296.06,457.943
1768599600000,3296.06,3297.41,3296.06,3296.08,157.124
1768599660000,3296.08,3296.08,3294.11,3294.65,195.155
1768599720000,3294.65,3294.65,3293.17,3293.18,159.111
1768599780000,3293.18,3293.75,3292.96,3293.74,35.292
1768599840000,3293.74,3294.48,3293.73,3293.92,76.835
1768599900000,3293.92,3293.92,3293.69,3293.69,12.313
1768599960000,3293.69,3293.7,3293.02,3293.18,28.952
1768600020000,3293.18,3293.61,3293.18,3293.45,21.298
1768600080000,3293.45,3293.69,3293.44,3293.69,45.416
1768600140000,3293.69,3294.4,3293.69,3294.18,56.893
1768600200000,3294.18,3295.27,3294.17,3295.14,90.502
1768600260000,3295.14,3295.8,3295.13,3295.8,51.818
1768600320000,3295.8,3295.99,3295.26,3295.26,35.074
1768600380000,3295.26,3295.56,3294.76,3295.2,81.852
1768600440000,3295.2,3295.87,3293.99,3293.99,243.646
1768600500000,3293.99,3294.67,3293.0,3294.04,251.474
1768600560000,3294.04,3294.37,3292.65,3294.36,204.429
1768600620000,3294.36,3295.13,3294.31,3294.32,70.691
1768600680000,3294.32,3294.32,3292.59,3293.94,127.337
1768600740000,3293.94,3293.95,3292.47,3292.86,71.47
1768600800000,3292.86,3293.94,3292.86,3293.01,104.637
1768600860000,3293.01,3293.01,3290.78,3291.44,120.018
1768600920000,3291.44,3291.77,3288.99,3289.0,167.015
