timestamp,open,high,low,close,volume
1768510800000,95220.3,95429.3,95155.3,95291.6,469.9475
1768511700000,95291.6,95453.9,95289.1,95406.0,165.2291
1768512600000,95406.0,95478.9,95356.0,95453.8,202.9179
1768513500000,95453.8,95599.7,95453.7,95545.2,390.0022
1768514400000,95545.2,95696.3,95452.3,95521.5,301.4248
1768515300000,95521.5,95717.1,95447.7,95665.3,290.0709
1768516200000,95665.3,95833.1,95617.7,95626.3,391.7384
1768517100000,95626.3,95676.6,95512.5,95536.3,184.287
1768518000000,95536.3,95592.8,95362.6,95559.2,499.21
1768518900000,95559.2,95677.5,95518.1,95522.7,385.8543
1768519800000,95522.7,95522.7,95417.4,95473.9,155.0792
1768520700000,95473.9,95593.5,95473.9,95567.3,140.0361
1768521600000,95567.3,95699.7,95526.6,95628.9,305.6249
1768522500000,95628.9,95727.8,95585.5,95651.7,185.8914
1768523400000,95651.7,95788.4,95633.3,95766.2,180.7968
1768524300000,95766.2,95766.6,95563.4,95589.4,190.4294
1768525200000,95589.4,95589.7,95381.2,95440.1,259.0235
1768526100000,95440.1,95620.6,95421.5,95614.1,326.4886
1768527000000,95614.1,95824.7,95599.8,95609.2,389.8495
1768527900000,95609.2,95728.0,95609.1,95623.7,125.9132
1768528800000,95623.7,95623.7,95399.9,95423.5,449.9457
1768529700000,95423.5,95648.5,95349.8,95635.9,466.6886
1768530600000,95635.9,95639.3,95399.8,95449.7,238.9883
1768531500000,95449.7,95516.2,95443.7,95469.4,117.6009
1768532400000,95469.4,95550.0,95469.4,95540.0,140.4809
1768533300000,95540.0,95540.1,95452.6,95462.7,115.6741
1768534200000,95462.7,95462.8,95355.8,95406.9,195.2857
1768535100000,95406.9,95406.9,95283.8,95319.4,186.4012
1768536000000,95319.4,95412.6,95301.3,95396.3,128.9343
1768536900000,95396.3,95546.4,95354.7,95360.0,349.3433
1768537800000,95360.0,95411.6,95150.9,95194.4,457.1337
1768538700000,95194.4,95250.3,95111.1,95233.5,307.4048
1768539600000,95233.5,95409.4,95211.1,95363.5,324.3371
