datetime,close,high,low,open,volume
2025-11-18 00:00:00+00:00,3030.650634765625,3033.3642578125,3023.8056640625,3026.00439453125,727474176
2025-11-18 00:15:00+00:00,3018.234375,3031.275634765625,3017.897216796875,3030.9599609375,0
2025-11-18 00:30:00+00:00,2993.37744140625,3017.99365234375,2993.37744140625,3017.99365234375,262750208
2025-11-18 00:45:00+00:00,3033.04150390625,3033.757568359375,2994.450439453125,2994.74658203125,1287806976
2025-11-18 01:00:00+00:00,3033.44140625,3040.114013671875,3026.29150390625,3030.285888671875,1071140864
2025-11-18 01:15:00+00:00,3017.755126953125,3041.089599609375,3017.755126953125,3032.78955078125,770088960
2025-11-18 01:30:00+00:00,3021.80712890625,3030.8505859375,3021.33837890625,3021.33837890625,1045327872
2025-11-18 01:45:00+00:00,3015.72265625,3027.9345703125,3012.445068359375,3025.23974609375,689631232
2025-11-18 02:00:00+00:00,3006.59765625,3013.39892578125,2998.435302734375,3012.236328125,35397632
2025-11-18 02:15:00+00:00,3030.435546875,3030.435546875,2979.72802734375,3005.015380859375,24790859776
2025-11-18 02:30:00+00:00,3026.04541015625,3037.12255859375,3017.955810546875,3033.4248046875,143884288
2025-11-18 02:45:00+00:00,2996.408203125,3035.98291015625,2996.408203125,3025.156982421875,1333305344
2025-11-18 03:00:00+00:00,2972.32275390625,2982.437744140625,2949.64208984375,2982.437744140625,630550528
2025-11-18 03:15:00+00:00,2969.6279296875,2979.509765625,2969.6279296875,2970.869873046875,2183254016
2025-11-18 03:30:00+00:00,3014.8876953125,3018.49609375,2955.076904296875,2967.042724609375,1320357888
2025-11-18 03:45:00+00:00,3019.40576171875,3021.837646484375,3011.697021484375,3014.16748046875,522149888
2025-11-18 04:00:00+00:00,2996.35986328125,3020.805908203125,2996.35986328125,3020.805908203125,1376133120
2025-11-18 04:15:00+00:00,2977.4140625,2993.94970703125,2977.4140625,2992.3896484375,349855744
2025-11-18 04:30:00+00:00,2985.56396484375,2988.782958984375,2977.29833984375,2977.656005859375,1913901056
2025-11-18 04:45:00+00:00,3004.522705078125,3004.522705078125,2969.872314453125,2974.37939453125,2003734528
2025-11-18 05:00:00+00:00,3009.650146484375,3009.650146484375,2984.37060546875,3002.937255859375,9568256
2025-11-18 05:15:00+00:00,3012.299560546875,3018.543212890625,3008.948486328125,3011.3876953125,4404420608
2025-11-18 05:30:00+00:00,3001.492431640625,3015.7568359375,3001.492431640625,3011.227783203125,570662912
2025-11-18 05:45:00+00:00,3009.26318359375,3018.904541015625,3002.2744140625,3002.2744140625,282628096
2025-11-18 06:00:00+00:00,3008.145263671875,3009.107177734375,2997.931396484375,3009.107177734375,2416406528
2025-11-18 06:15:00+00:00,2998.562255859375,3010.423828125,2998.562255859375,3008.78955078125,109133824
2025-11-18 06:30:00+00:00,2973.76416015625,3000.857177734375,2973.76416015625,3000.53857421875,534753280
2025-11-18 06:45:00+00:00,2985.277587890625,2992.96923828125,2973.3505859375,2973.3505859375,1062764544
2025-11-18 07:00:00+00:00,2995.660400390625,2998.33154296875,2977.221435546875,2985.782470703125,347189248
